Uuid,Void/Retire,Short name:en,Fully specified name:en,Fully specified name:fr,Data class,Data Type,Members,_version:1,_order:500
a5a5aaf1-541e-4ca6-9753-bd4b0e479f81,,,Ciprofloxacin,Ciprofloxacine,Drug,,,,
f9608d19-a304-4508-9074-4858cd3ccbed,,,Metronidazole,Métronidazole,Drug,,,,
9881091b-1802-4c62-8b80-a8fcb170b59f,,,Paracetamol,Paracétamol,Drug,,,,
f05a49a3-8930-434d-a6da-240f2e127754,,,Streptomycin,Streptomycine,Drug,,,,
83c9a8d1-d282-437f-a882-ff4c3179908d,,,Isoniazid,Lisoniazide,Drug,,,,
38dcc101-d385-4771-b005-7ba9825ca0c6,,,Rifampicin,Rifampicine,Drug,,,,
aa018411-bcb2-4392-ab5f-b489f7243612,,,Ethambutol,Ethambutol,Drug,,,,
0a1d2888-fd53-4031-9470-ca2140f997a9,,,Calcium,,Drug,,,,
5fd156c3-c76f-4067-9856-6a6bd1912a96,,,Pyrazinamide,Pyrazinamide,Drug,,,,
63aaaeba-9b3c-4ff5-9faf-522c10b6f54c,,,Metformin,Metformine,Drug,,,,
01e09697-7bd1-42da-9c71-79f0fd1f8e02,,,Pioglitazone,Pioglitazone,Drug,,,,
e6701098-9f0e-41f9-9c9d-fcdb57715bef,,,Glipizide,Glipizide,Drug,,,,
38752a31-5b23-4957-ae0c-ecdbc6b0a489,,,Aceclofenac,Aceclofenac,Drug,,,,
783aff6f-c427-4511-8df4-872b87fad050,,,Acyclovir,Acyclovir,Drug,,,,
d770fc0a-1482-4078-b0cd-9a91d9afe0e5,,,Adrenaline,Adrénaline,Drug,,,,
8f668b49-584f-4cba-b0f2-817a8aaf50c4,,,Albendazole,Albendazole,Drug,,,,
80afda71-a024-4565-a936-9800fb3cb66d,,,Allopurinol,Allopurinol,Drug,,,,
93ab76c0-6a9a-4d3e-9654-78dadae5db72,,,Alprazolam,Alprazolam,Drug,,,,
15ed8cf2-f0bf-4cfa-9181-9a285e1349bd,,,Amikacin,Amikacine,Drug,,,,
d721dc0f-fcc0-4beb-801c-6c6c21baa5bf,,,Amitriptyline,Amitriptyline,Drug,,,,
93491208-5dc1-47e5-9f3c-7bf99919f13a,,,Amlodipine,Amlodipine,Drug,,,,
73a42073-eff0-436c-aed3-3001b0a2b603,,,Amlodipine & Atenolol,Amlodipine et aténolol,Drug,,,,
627a6041-ad81-4968-8adf-2f49aec4433b,,,Amoxicillin,Amoxicilline,Drug,,,,
5af24242-1f58-40ef-a9a6-417cdf53c81c,,,Amoxicillin & Clavulanate,Amoxicilline et clavulanate,Drug,,,,
7d46eccd-e611-4476-a114-9abd22767947,,,Amoxicillin & Clavulanic Acid,Amoxicilline et acide clavulanique,Drug,,,,
f0dbd31e-d189-44ca-b3cb-4dfe7f88c08f,,,Amoxicillin & Cloxacillin,Amoxicilline et cloxacilline,Drug,,,,
0212639d-bb3a-4307-9bb5-95c84e78b8ef,,,Amphotericin B,Amphotéricine b,Drug,,,,
f9f69437-669d-4a3e-930b-b36994a2f9d4,,,Ampicillin,Ampicilline,Drug,,,,
08c44970-d497-4270-8dad-e50a3df7e6a8,,,Ampicillin & Cloxacillin,Ampicilline et cloxacilline,Drug,,,,
d00fa604-4fe6-445d-81e9-7ae4aff8341f,,,Antacid,Anti-acide,Drug,,,,
9cedc898-c7e5-4edb-8085-0a40f33645d0,,,Antioxidant,Antioxydant,Drug,,,,
316441ec-c0fd-44bc-a040-c68f4da8d228,,,Atenolol,Aténolol,Drug,,,,
83902f85-63ba-4121-9446-940158804bc2,,,Atorvastatin,Atorvastatine,Drug,,,,
b4dc0131-0a26-477c-806a-f690225194d6,,,Atropine,Atropine,Drug,,,,
c3b264e0-8e01-42ee-a3b2-e2a357b73896,,,Azithromycin,Azithromycine,Drug,,,,
12f2b5bc-a9be-4860-9393-03f30fa3f1cd,,,Beclomethasone Dipropionate,Dipropionate de béclométhasone,Drug,,,,
502820f5-5a8b-4ee9-beba-fcf23c1ec2f7,,,Benzoic & Salicylic Acid,Acide benzoïque et salicylique,Drug,,,,
9bc6c942-9da6-401f-ab44-87b95fa86830,,,Benzoyl Peroxide,Peroxyde de benzoyle,Drug,,,,
a7ce5d88-1940-4569-b07b-97b12cb9656f,,,Betamethasone,Bétamethasone,Drug,,,,
208b5be3-5c5a-4a1f-9c9a-2779373c7d86,,,Bupivacaine Hydrochloride,Chlorhydrate de bupivacaïne,Drug,,,,
bb2afe54-a7d9-4ee5-9823-5a53fe03b725,,,Caffeine Citrate,Citrate de caféine,Drug,,,,
d08ec8fe-2d91-489f-a416-16af0a043b0b,,,Calamine,Calamine,Drug,,,,
9a318894-5341-424f-a4ed-98bea3a5e0ce,,,Calcium Gluconate,Gluconate de calcium,Drug,,,,
aa367bfd-3846-4792-888d-32b13b13933b,,,Carbamazine,Carbamazine,Drug,,,,
d4844d6b-4348-46ef-9dcf-f3d9c3541f83,,,Cefadroxil,Céfadroxil,Drug,,,,
d7301792-6622-49e7-8de1-1f5e8471529c,,,Cefazolin,Céfazoline,Drug,,,,
4907047b-1435-4eaf-9645-b67fba8a2e23,,,Cefepime,Céfépime,Drug,,,,
4316906b-9ef4-4326-bd76-2988beed82a4,,,Cefixime,Céfixime,Drug,,,,
38d061a2-e963-49dd-86fb-c8444b5de4c3,,,Ceftazidime,Ceftazidime,Drug,,,,
057a960e-04f9-45a2-a1c7-cabf440cdf15,,,Ceftriaxone,Ceftriaxone,Drug,,,,
dfeb53e9-4253-42fc-8f6e-edc6213c9515,,,Cetirizine,Cetirizine,Drug,,,,
34f39ebd-e88e-4b74-b384-60eb9b3370e8,,,Dipirone,Dipirone,Drug,,,,
2d0057fc-7a3c-40df-b0fb-2ae2c004dad6,,,Chlordiazepoxide,Chlordiazépoxide,Drug,,,,
e6787b61-c496-43e7-93c9-77a2eb043105,,,Chlorhexidine Gluconate,Gluconate de chlorhexidine,Drug,,,,
b48e38a8-b121-4cdf-91b9-469acd99273b,,,Chloroquine,Chloroquine,Drug,,,,
b46265ad-397e-4db3-a439-594ff495f39f,,,Chlorpheniramine,Chlorphéniramine,Drug,,,,
b50c9258-d3cc-43ea-9855-1c2b685f4aa9,,,Chlorpromazine,Chlorpromazine,Drug,,,,
a4391c57-549b-4047-8971-c3fa72e140b5,,,Clarithromycine,Clarithromycine,Drug,,,,
0797df4b-bdcd-4f4e-976e-b929874f814b,,,Clobazam,Clobazam,Drug,,,,
3bb38c6e-d972-4cee-89c9-a3bddf60f698,,,Clobetasol Propionate,Propionate de clobétasol,Drug,,,,
3ecf1ff7-22e4-4846-90dc-10ed9255ce8e,,,Clonazepan,Clonazepan,Drug,,,,
895ae798-25af-4232-b4a1-942b11abd446,,,Clotrimazole,Clotrimazole,Drug,,,,
1a785710-08a7-4798-b122-4c88d2a98b53,,,Clotrimazole & Lignocaine,Clotrimazole et lignocaïne,Drug,,,,
ebfa6b78-15c2-4343-a240-31f9fce66723,,,Clotrimazole Otic,Clotrimazole otic,Drug,,,,
cbbde229-f044-43ae-9a34-504fb77ce42f,,,Clove Oil,Huile de clou de girofle,Drug,,,,
1b535529-68fb-4bb5-bb5a-202ec74efb1d,,,Cloxacillin,Cloxacilline,Drug,,,,
62f52893-4ec1-4de6-8585-92da6d917579,,,Codeine Phosphate,Phosphate de codéine,Drug,,,,
55e6671b-f5c3-4699-8b76-a7f59701d35b,,,Co-trimoxazole,Co-trimoxazole,Drug,,,,
990f8299-6f88-49bc-af49-9fa3944d0fc1,,,Cremaffin,Cremaffin,Drug,,,,
8ebd43a6-fc66-4c00-a0de-108c6acd5721,,,Cycloserine,Cyclosérine,Drug,,,,
e4a0426a-4235-416d-8089-84ae113808d6,,,Dexamethasone,Dexaméthasone,Drug,,,,
49be9771-c89d-4b0d-a03c-ecd6283f0caa,,,Dextrose,Dextrose,Drug,,,,
