Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:fr,Data class,Data type,_version:1,_order:1000
d0b5d4a0-1001-0000-0000-000000000001,,CIEL:165065,Chest X-Ray,Radiographie thoracique,CXR,RX Thorax,Chest radiograph to evaluate lungs heart and chest wall,,Radiology/Imaging Procedure,N/A,,
d0b5d4a0-1002-0000-0000-000000000001,,CIEL:165067,Abdominal X-Ray,Radiographie abdominale,AXR,RX Abdomen,Plain radiograph of the abdomen,,Radiology/Imaging Procedure,N/A,,
d0b5d4a0-1003-0000-0000-000000000001,,,Hand X-Ray,Radiographie de la main,Hand XR,RX Main,Radiograph of the hand and wrist,,Radiology/Imaging Procedure,N/A,,
d0b5d4a0-1004-0000-0000-000000000001,,,Foot X-Ray,Radiographie du pied,Foot XR,RX Pied,Radiograph of the foot and ankle,,Radiology/Imaging Procedure,N/A,,
d0b5d4a0-1005-0000-0000-000000000001,,,Knee X-Ray,Radiographie du genou,Knee XR,RX Genou,Radiograph of the knee joint,,Radiology/Imaging Procedure,N/A,,
d0b5d4a0-1006-0000-0000-000000000001,,,Spine X-Ray,Radiographie de la colonne,Spine XR,RX Colonne,Radiograph of the spinal column,,Radiology/Imaging Procedure,N/A,,
d0b5d4a0-1007-0000-0000-000000000001,,,Pelvis X-Ray,Radiographie du bassin,Pelvis XR,RX Bassin,Radiograph of the pelvis,,Radiology/Imaging Procedure,N/A,,
d0b5d4a0-1008-0000-0000-000000000001,,,Skull X-Ray,Radiographie du crane,Skull XR,RX Crane,Radiograph of the skull,,Radiology/Imaging Procedure,N/A,,
d0b5d4a0-2001-0000-0000-000000000001,,CIEL:165435,Abdominal Ultrasound,Echographie abdominale,US Abdomen,Echo Abdomen,Ultrasound examination of the abdominal organs,,Radiology/Imaging Procedure,N/A,,
d0b5d4a0-2002-0000-0000-000000000001,,,Pelvic Ultrasound,Echographie pelvienne,US Pelvis,Echo Pelvis,Ultrasound examination of the pelvic organs,,Radiology/Imaging Procedure,N/A,,
d0b5d4a0-2003-0000-0000-000000000001,,CIEL:165436,Obstetric Ultrasound,Echographie obstetricale,US Obstetric,Echo Obstetrique,Ultrasound examination during pregnancy,,Radiology/Imaging Procedure,N/A,,
d0b5d4a0-2004-0000-0000-000000000001,,,Neck Ultrasound,Echographie cervicale,US Neck,Echo Cou,Ultrasound examination of the neck and thyroid,,Radiology/Imaging Procedure,N/A,,
d0b5d4a0-2005-0000-0000-000000000001,,,Renal Ultrasound,Echographie renale,US Kidney,Echo Renal,Ultrasound examination of the kidneys,,Radiology/Imaging Procedure,N/A,,
d0b5d4a0-2006-0000-0000-000000000001,,,Soft Tissue Ultrasound,Echographie des tissus mous,US Soft Tissue,Echo Tissus,Ultrasound examination of soft tissue,,Radiology/Imaging Procedure,N/A,,
d0b5d4a0-3001-0000-0000-000000000001,,,CT Scan Head,Scanner cranien,CT Head,TDM Crane,Computed tomography of the head and brain,,Radiology/Imaging Procedure,N/A,,
d0b5d4a0-3002-0000-0000-000000000001,,,CT Scan Chest,Scanner thoracique,CT Chest,TDM Thorax,Computed tomography of the chest,,Radiology/Imaging Procedure,N/A,,
d0b5d4a0-3003-0000-0000-000000000001,,,CT Scan Abdomen,Scanner abdominal,CT Abdomen,TDM Abdomen,Computed tomography of the abdomen,,Radiology/Imaging Procedure,N/A,,
d0b5d4a0-3004-0000-0000-000000000001,,,CT Scan Spine,Scanner de la colonne,CT Spine,TDM Colonne,Computed tomography of the spine,,Radiology/Imaging Procedure,N/A,,
d0b5d4a0-3005-0000-0000-000000000001,,,CT Scan Pelvis,Scanner pelvien,CT Pelvis,TDM Bassin,Computed tomography of the pelvis,,Radiology/Imaging Procedure,N/A,,
d0b5d4a0-4001-0000-0000-000000000001,,CIEL:165437,Echocardiography,Echocardiographie,Echo Heart,Echo Coeur,Cardiac ultrasound examination,,Radiology/Imaging Procedure,N/A,,
d0b5d4a0-4002-0000-0000-000000000001,,,Doppler Echocardiography,Echocardiographie Doppler,Echo Doppler,Echo Doppler Coeur,Doppler cardiac ultrasound examination,,Radiology/Imaging Procedure,N/A,,
