id,name,categ_id/id,type,purchase_ok,sale_ok,invoice_policy
"init.4d713ce0-419e-4635-bb58-3654eeb533f4","Vital Signs Check",init.categ_services_procedure_orders,service,FALSE,TRUE,Ordered quantities
"init.ffd7ec6f-ebdd-4b7d-9ff5-59207457dc2b","Foreign Body Removal",init.categ_services_procedure_orders,service,FALSE,TRUE,Ordered quantities
"init.a60958ec-1dda-4a5c-8ef6-c1648860168c","Immobilization",init.categ_services_procedure_orders,service,FALSE,TRUE,Ordered quantities
"init.cacea2a4-12c7-4ae7-a7ad-76aa06ba0d70","Ear Syringing",init.categ_services_procedure_orders,service,FALSE,TRUE,Ordered quantities
"init.52f9af2d-0692-43cf-b0d7-5e2cb8657800","Nebulization",init.categ_services_procedure_orders,service,FALSE,TRUE,Ordered quantities
"init.4c27367b-84d0-4594-9bae-e9f9b2549132","Orthopedic Reduction",init.categ_services_procedure_orders,service,FALSE,TRUE,Ordered quantities
"init.d29ffcc3-4530-43ca-ba21-620e605cddd8","Hospitalization Certificate",init.categ_services_procedure_orders,service,FALSE,TRUE,Ordered quantities
"init.a8d698ff-f3d9-4fa8-9ea5-76f0e3be1c4a","Physical Fitness Certificate",init.categ_services_procedure_orders,service,FALSE,TRUE,Ordered quantities
"init.02ad134d-cb71-4b91-9ddd-5f77f64d74aa","Caregiver Certificate",init.categ_services_procedure_orders,service,FALSE,TRUE,Ordered quantities
"init.4c554b15-3072-467f-b270-0211e35b0cbb","Aspiration",init.categ_services_procedure_orders,service,FALSE,TRUE,Ordered quantities
"init.7c914c11-cd98-4fd5-bbe1-a74d902c3e35","Death Certificate",init.categ_services_procedure_orders,service,FALSE,TRUE,Ordered quantities
"init.036a3e47-1e28-448c-a928-a267fe04e42d","Lumbar Puncture",init.categ_services_procedure_orders,service,FALSE,TRUE,Ordered quantities
"init.4913bd15-ea95-4109-bb1b-74f36ad197f7","Standard Bed",init.categ_services_procedure_orders,service,FALSE,TRUE,Ordered quantities
"init.56744335-40ae-4231-9bfa-01d9c68dd588","VIP Bed",init.categ_services_procedure_orders,service,FALSE,TRUE,Ordered quantities
"init.00029888-c382-4d30-8c92-9105e9014cda","Medical Expertise",init.categ_services_procedure_orders,service,FALSE,TRUE,Ordered quantities
"init.67fce2a8-6d11-4355-b413-f109041ac4ae","Medical Rest Certificate",init.categ_services_procedure_orders,service,FALSE,TRUE,Ordered quantities
"init.97ab2203-63e4-42b9-bd36-5137fc68ef21","Nurse Visit",init.categ_services_procedure_orders,service,FALSE,TRUE,Ordered quantities
"init.eb2faf60-0143-48c7-8cee-3d0d6fec8b48","Medical Visit",init.categ_services_procedure_orders,service,FALSE,TRUE,Ordered quantities
"init.89dbc90b-24bc-4c1c-b0a6-9adce52d29bd","Blood Transfusion",init.categ_services_procedure_orders,service,FALSE,TRUE,Ordered quantities
"init.47279985-44a6-40de-9f00-a113e333b91c","Lipomectomy",init.categ_services_procedure_orders,service,FALSE,TRUE,Ordered quantities
"init.f1d8a52b-c61b-41f5-82f7-ed5cea982932","Specimen Collection",init.categ_services_procedure_orders,service,FALSE,TRUE,Ordered quantities
"init.e4b471d9-81d6-48c4-8b97-20fdeeeac280","C-Spine X-ray",init.categ_services_procedure_orders,service,FALSE,TRUE,Ordered quantities
"init.0c6e5f9a-75cf-444c-9415-6c2ac870392c","T-Spine X-ray",init.categ_services_procedure_orders,service,FALSE,TRUE,Ordered quantities
"init.30cdefe7-775b-4302-b165-f2540fa207da","L-Spine X-ray",init.categ_services_procedure_orders,service,FALSE,TRUE,Ordered quantities
"init.bc52d033-8df5-466b-abf9-e0679b42c043","Sacrum X-ray",init.categ_services_procedure_orders,service,FALSE,TRUE,Ordered quantities
"init.1bd135e8-d15c-45b4-9bc2-a232f5358912","Coccyx X-ray",init.categ_services_procedure_orders,service,FALSE,TRUE,Ordered quantities
"init.1407617f-d79a-43a5-868b-7dedcd2c560f","Neck X-ray",init.categ_services_procedure_orders,service,FALSE,TRUE,Ordered quantities
"init.ba2a2d62-8220-45a7-9302-9092c48a363d","Skull X-ray",init.categ_services_procedure_orders,service,FALSE,TRUE,Ordered quantities
"init.e309ea51-86cd-4a83-883b-d5f8654e6627","Shoulder X-ray",init.categ_services_procedure_orders,service,FALSE,TRUE,Ordered quantities
"init.e6d7bca3-cb2f-4926-bfbc-f89e90d573cd","Humerus X-ray",init.categ_services_procedure_orders,service,FALSE,TRUE,Ordered quantities
"init.bb1b2daf-584c-4bb6-8de2-aa678c7231fa","Elbow X-ray",init.categ_services_procedure_orders,service,FALSE,TRUE,Ordered quantities
"init.dac7eb20-d3af-4097-a399-2b1a9f3e0ae4","Forearm X-ray",init.categ_services_procedure_orders,service,FALSE,TRUE,Ordered quantities
"init.bdd5be47-fc95-4ae3-9319-a8283eeead6a","Wrist X-ray",init.categ_services_procedure_orders,service,FALSE,TRUE,Ordered quantities
"init.c82d4492-308d-455d-9bf9-360c3a086743","Hand X-ray",init.categ_services_procedure_orders,service,FALSE,TRUE,Ordered quantities
"init.c95e8fa1-b395-4042-9513-d8f33fb81a05","Finger X-ray",init.categ_services_procedure_orders,service,FALSE,TRUE,Ordered quantities
"init.3765eebc-1324-4555-99c8-2b9324d5a185","Pelvis X-ray",init.categ_services_procedure_orders,service,FALSE,TRUE,Ordered quantities
"init.41d7e98f-d485-4d27-81fc-70d44e9d6e1d","Femur X-ray",init.categ_services_procedure_orders,service,FALSE,TRUE,Ordered quantities
"init.1cb9c9f6-d3ad-42db-b38e-9cefa0b258fe","Knee X-ray",init.categ_services_procedure_orders,service,FALSE,TRUE,Ordered quantities
"init.245e29a4-82de-4662-b176-92c768e49118","Leg X-ray",init.categ_services_procedure_orders,service,FALSE,TRUE,Ordered quantities
"init.addae1d8-baa2-459c-b869-e98f0303a688","Ankle X-ray",init.categ_services_procedure_orders,service,FALSE,TRUE,Ordered quantities
"init.740f0b00-3c24-4c86-b95b-b5c6a7208625","Foot X-ray",init.categ_services_procedure_orders,service,FALSE,TRUE,Ordered quantities
"init.97589f4b-8bf9-4342-b24f-605d359ce932","Toe X-ray",init.categ_services_procedure_orders,service,FALSE,TRUE,Ordered quantities
"init.c9f0148b-362a-4b11-9bc3-8c3428a9bbb4","Calcaneus X-ray",init.categ_services_procedure_orders,service,FALSE,TRUE,Ordered quantities
