id,name,categ_id/id,type,uom_id/id,uom_po_id/id,purchase_ok,sale_ok,tracking,use_expiration_date,invoice_policy
init.b4c1e2f0-d7ca-48a1-ac23-df85d30344be,Acupan Injection 20mg,init.categ_products_drug_orders,product,init.d81e10fe-0f6a-4b75-b9c0-a5e72d56f3b2,init.d81e10fe-0f6a-4b75-b9c0-a5e72d56f3b2,TRUE,TRUE,By Lots,TRUE,Ordered quantities
init.ad76c82c-7f96-4dbc-905a-163a75aa0be8,Ambrosal Sirop,init.categ_products_drug_orders,product,init.bf712910-1c7f-4e72-9d50-6eb5453efcfd,init.bf712910-1c7f-4e72-9d50-6eb5453efcfd,TRUE,TRUE,By Lots,TRUE,Ordered quantities
init.66e2e474-83d0-47d4-9bad-e3f7edbc84d3,Anamol Comprimé,init.categ_products_drug_orders,product,init.391d2a1b-2aec-4bd7-b43b-e294e7f2b9b9,init.391d2a1b-2aec-4bd7-b43b-e294e7f2b9b9,TRUE,TRUE,By Lots,TRUE,Ordered quantities
init.e33c1482-84d4-4ce6-ac44-7944bda93fcb,Anamol Sirop,init.categ_products_drug_orders,product,init.bf712910-1c7f-4e72-9d50-6eb5453efcfd,init.bf712910-1c7f-4e72-9d50-6eb5453efcfd,TRUE,TRUE,By Lots,TRUE,Ordered quantities
init.65b267cb-b6cc-4d8b-8932-ae92c4d8f678,Antalgex Comprimé,init.categ_products_drug_orders,product,init.391d2a1b-2aec-4bd7-b43b-e294e7f2b9b9,init.391d2a1b-2aec-4bd7-b43b-e294e7f2b9b9,TRUE,TRUE,By Lots,TRUE,Ordered quantities
init.1fb262b7-ae9e-45a8-8200-282239d52eee,Artésunate Injection,init.categ_products_drug_orders,product,init.d81e10fe-0f6a-4b75-b9c0-a5e72d56f3b2,init.d81e10fe-0f6a-4b75-b9c0-a5e72d56f3b2,TRUE,TRUE,By Lots,TRUE,Ordered quantities
init.65d1e9c2-7424-4df3-bd64-211143d0f1c3,Artéméther-Luméfantrine Comprimé Boîte de 24,init.categ_products_drug_orders,product,init.391d2a1b-2aec-4bd7-b43b-e294e7f2b9b9,init.391d2a1b-2aec-4bd7-b43b-e294e7f2b9b9,TRUE,TRUE,By Lots,TRUE,Ordered quantities
init.1cca586a-cf7d-4076-a9c1-d18b80914e92,Artéméther-Luméfantrine Comprimé Boîte de 12,init.categ_products_drug_orders,product,init.391d2a1b-2aec-4bd7-b43b-e294e7f2b9b9,init.391d2a1b-2aec-4bd7-b43b-e294e7f2b9b9,TRUE,TRUE,By Lots,TRUE,Ordered quantities
init.d337d23d-a300-4f1a-b151-34c3b7f0d740,Artéméther-Luméfantrine Comprimé Boîte de 18,init.categ_products_drug_orders,product,init.391d2a1b-2aec-4bd7-b43b-e294e7f2b9b9,init.391d2a1b-2aec-4bd7-b43b-e294e7f2b9b9,TRUE,TRUE,By Lots,TRUE,Ordered quantities
init.d568c612-69ee-4e7f-b49c-f810cc0a43cd,Artéméther-Luméfantrine Comprimé Boîte de 6,init.categ_products_drug_orders,product,init.391d2a1b-2aec-4bd7-b43b-e294e7f2b9b9,init.391d2a1b-2aec-4bd7-b43b-e294e7f2b9b9,TRUE,TRUE,By Lots,TRUE,Ordered quantities
