Uuid," Void/Retire"," Service Name"," Short Name"," Concept"," Service Type"," Service Status"
4deb5806-e704-4b26-ad5c-73d20b24bca8,,"Vital Signs Check",,"4d713ce0-419e-4635-bb58-3654eeb533f4","Procedure"," Enabled"
3287b103-5f06-45aa-9ecf-c50f55923d83,,"Foreign Body Removal",,"ffd7ec6f-ebdd-4b7d-9ff5-59207457dc2b","Procedure"," Enabled"
f90e37a7-36d4-43f5-8381-c1d64147f670,,"Immobilization",,"a60958ec-1dda-4a5c-8ef6-c1648860168c","Procedure"," Enabled"
f2bf526b-02d9-428e-8023-8eb666b3e6b1,,"Ear Syringing",,"cacea2a4-12c7-4ae7-a7ad-76aa06ba0d70","Procedure"," Enabled"
3edfadff-aaea-489e-b681-6481e9aa3c78,,"Nebulization",,"52f9af2d-0692-43cf-b0d7-5e2cb8657800","Procedure"," Enabled"
9bf28ae2-4218-43b3-86ac-634b1ea66e15,,"Orthopedic Reduction",,"4c27367b-84d0-4594-9bae-e9f9b2549132","Procedure"," Enabled"
79c9c177-b416-4f8e-9793-7e8613626290,,"Hospitalization Certificate",,"d29ffcc3-4530-43ca-ba21-620e605cddd8","Procedure"," Enabled"
f73b847a-8add-4541-bca3-2e8cc555d058,,"Physical Fitness Certificate",,"a8d698ff-f3d9-4fa8-9ea5-76f0e3be1c4a","Procedure"," Enabled"
74218a3a-fa8d-4265-ab67-82c8ef5ddde7,,"Caregiver Certificate",,"02ad134d-cb71-4b91-9ddd-5f77f64d74aa","Procedure"," Enabled"
b3bd1435-b290-47c4-8023-9a155caebba7,,"Aspiration",,"4c554b15-3072-467f-b270-0211e35b0cbb","Procedure"," Enabled"
f8b58237-2e37-480c-91e2-aebeb5feadb8,,"Death Certificate",,"7c914c11-cd98-4fd5-bbe1-a74d902c3e35","Procedure"," Enabled"
f23eb27b-dbd5-4868-b131-51ab134312ad,,"Lumbar Puncture",,"036a3e47-1e28-448c-a928-a267fe04e42d","Procedure"," Enabled"
20d95805-bc63-42b5-a61c-8c80a56d0d28,,"Standard Bed",,"4913bd15-ea95-4109-bb1b-74f36ad197f7","Procedure"," Enabled"
49235af5-806e-41c9-8426-6b42f2031ce7,,"VIP Bed",,"56744335-40ae-4231-9bfa-01d9c68dd588","Procedure"," Enabled"
997b06c8-ab0e-48f0-9a13-b094f1d3b9fd,,"Medical Expertise",,"00029888-c382-4d30-8c92-9105e9014cda","Procedure"," Enabled"
11e571b6-9be7-43ea-b932-4eda38926abf,,"Medical Rest Certificate",,"67fce2a8-6d11-4355-b413-f109041ac4ae","Procedure"," Enabled"
b74cb928-5c4b-48e7-a374-074f127ce0e7,,"Nurse Visit",,"97ab2203-63e4-42b9-bd36-5137fc68ef21","Procedure"," Enabled"
a7337183-02be-4a82-ab8e-ad665d21dcc9,,"Medical Visit",,"eb2faf60-0143-48c7-8cee-3d0d6fec8b48","Procedure"," Enabled"
05421de0-cd52-42da-a996-de58d3a08996,,"Blood Transfusion",,"89dbc90b-24bc-4c1c-b0a6-9adce52d29bd","Procedure"," Enabled"
c368768d-9d98-4935-b278-69942f087b71,,"Lipomectomy",,"47279985-44a6-40de-9f00-a113e333b91c","Procedure"," Enabled"
1b70d466-66e6-4530-9a88-4cb2488b341b,,"Specimen Collection",,"f1d8a52b-c61b-41f5-82f7-ed5cea982932","Procedure"," Enabled"
d3a68721-6bde-416f-9214-62d626461e58,,"C-Spine X-ray",,"e4b471d9-81d6-48c4-8b97-20fdeeeac280","Procedure"," Enabled"
85e45f77-5f4c-42f2-85b5-d4dd403e0b41,,"T-Spine X-ray",,"0c6e5f9a-75cf-444c-9415-6c2ac870392c","Procedure"," Enabled"
b0c56345-7ddb-49d3-9f95-b6bff80c2bed,,"L-Spine X-ray",,"30cdefe7-775b-4302-b165-f2540fa207da","Procedure"," Enabled"
3fab6983-2efc-4d99-880d-2ef3c6c073a7,,"Sacrum X-ray",,"bc52d033-8df5-466b-abf9-e0679b42c043","Procedure"," Enabled"
37cb87aa-89b0-434a-bd21-5671e181be9d,,"Coccyx X-ray",,"1bd135e8-d15c-45b4-9bc2-a232f5358912","Procedure"," Enabled"
132358fd-9c5a-43b3-a1fc-137c2931884b,,"Neck X-ray",,"1407617f-d79a-43a5-868b-7dedcd2c560f","Procedure"," Enabled"
a54c546d-b9aa-488b-9c68-2a90288002a2,,"Skull X-ray",,"ba2a2d62-8220-45a7-9302-9092c48a363d","Procedure"," Enabled"
158fd58c-4082-423e-96ec-c1c5c663fd55,,"Shoulder X-ray",,"e309ea51-86cd-4a83-883b-d5f8654e6627","Procedure"," Enabled"
f8ec5866-4fef-445a-b984-4f408ff3710e,,"Humerus X-ray",,"e6d7bca3-cb2f-4926-bfbc-f89e90d573cd","Procedure"," Enabled"
ee10f8be-d326-4bd8-ab14-cc9e5df64523,,"Elbow X-ray",,"bb1b2daf-584c-4bb6-8de2-aa678c7231fa","Procedure"," Enabled"
08b6df1d-7052-4196-ad22-5374d7b129b4,,"Forearm X-ray",,"dac7eb20-d3af-4097-a399-2b1a9f3e0ae4","Procedure"," Enabled"
f9920897-447f-407c-84fc-d3b20ea61c7d,,"Wrist X-ray",,"bdd5be47-fc95-4ae3-9319-a8283eeead6a","Procedure"," Enabled"
050d70ce-12d7-4c3f-9733-8b12e93c40ef,,"Hand X-ray",,"c82d4492-308d-455d-9bf9-360c3a086743","Procedure"," Enabled"
8bd32703-7974-42c7-879a-580d82340dd3,,"Finger X-ray",,"c95e8fa1-b395-4042-9513-d8f33fb81a05","Procedure"," Enabled"
