Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:fr,Data class,Data type,Absolute low,Critical low,Normal low,Normal high,Critical high,Absolute high,Units,Allow decimals,Display precision,_version:1,_order:1000,
8b065fa3-f2c4-4f7b-b827-3204baf53d00,,,Echography,Echographie,ECH,ECH,Ultrasound imaging to view internal organs.,Imagerie par ultrasons pour visualiser les organes internes.,Imaging,Text,,,,,,,,No,,,,
303a40ee-16c8-4258-b233-a1f338b5c695,,,C-Reactive Protein (CRP),Protéine C-Réactive,CRP,CRP,"Measures the level of CRP in the blood, which rises in response to inflammation.","Mesure du niveau de CRP dans le sang, qui augmente en réponse à l'inflammation.",Immunology,Text,,,,,,,mg/L,Yes,1,,,
416dbe5a-1284-494c-9958-5dd5cb872f9f,,,General Examination,Examen Général,G.E,G.E,A general physical examination by a healthcare provider.,Examen physique général par un professionnel de la santé.,Clinical,Text,,,,,,,,No,,,,
bb000ec1-86d9-42f0-ad60-e430ad61de9d,,,Urine Examination,Examen Cytobactériologique des Urines (ECBU),ECBU,ECBU,A test to detect bacteria or infection in the urine.,Test pour détecter les bactéries ou l'infection dans les urines.,Microbiology,Text,,,,,,,,No,,,,
efb5fe2f-76b8-4653-8101-0200c5fd2135,,,Urea,Urée,UREA,URÉE,"Measures the amount of urea in the blood, indicating kidney function.","Mesure de la quantité d'urée dans le sang, indiquant la fonction rénale.",Chemistry,Text,,,,,,,mg/dL,Yes,2,,,
db8ceb96-837d-44c9-be9d-e71c7962401c,,,Hepatitis B Surface Antigen,Antigène de Surface de l'Hépatite B,AGHBS,AGHBS,Tests for the presence of hepatitis B virus in the blood.,Test pour la présence du virus de l'hépatite B dans le sang.,Virology,Text,,,,,,,,No,,,,
a33b0403-d2a5-4bda-bc21-d32b604b7b6a,,,HIV Antibody Test,Test VIH (Acide Nucleique),ACHVC,ACHVC,Detects antibodies to HIV in the blood.,Détecte les anticorps VIH dans le sang.,Virology,Text,,,,,,,,No,,,,
3ed5a6ad-6ee7-4c03-aa60-ab60da2d8dfc,,,Pregnancy Test,Test de Grossesse,Pregnancy Test,TEST DE GROSSESSE,Detects pregnancy by identifying human chorionic gonadotropin (hCG) in urine.,Détecte la grossesse en identifiant la gonadotrophine chorionique humaine (hCG) dans l'urine.,Clinical,Text,,,,,,,,No,,,,
ff3e3a0a-8c6c-4101-9d70-e3c4e6e8f1dc,,,Arthritis Test,Test de l'Arthrite,ARITRITEST,ARITRITEST,Detects markers associated with arthritis.,Détecte les marqueurs associés à l'arthrite.,Rheumatology,Text,,,,,,,,No,,,,
1487fe03-a3dc-454e-b1fb-601c193280c8,,,Cholesterol,Cholestérol,CHOL,CHOL,Measurement of cholesterol levels in the blood.,Mesure des niveaux de cholestérol dans le sang.,Chemistry,Text,,,,,,,mg/dL,Yes,2,,,
1945b11f-4ee9-4bb7-aca3-dd9517a58344,,,Complete Blood Count (CBC),Numération Formule Sanguine,CBC,NFS,A blood test to assess overall health and detect a range of disorders.,Test sanguin pour évaluer la santé globale et détecter divers troubles.,Hematology,Text,,,,,,,,No,,,,
12927369-216e-4a23-b5b4-ca83369ac8de,,,Creatinine,Créatinine,CREAT,CREAT,Assesses kidney function by measuring creatinine in the blood.,Évalue la fonction rénale en mesurant la créatinine dans le sang.,Chemistry,Text,,,,,,,mg/dL,Yes,2,,,
3b1a76d8-51ff-44c7-82bc-a4d9103790b4,,,Widal Test,Test de Widal,SERO-WIDAL,SERO-WIDAL,Assesses typhoid fever by detecting specific antibodies.,Évalue la fièvre typhoïde en détectant des anticorps spécifiques.,Immunology,Text,,,,,,,,No,,,,
6b02c0d6-ec05-4e22-9b2a-8e2b1b823101,,,Aspartate Aminotransferase (AST),Aspartate Aminotransférase,GOT,GOT,Measures AST levels to assess liver function.,Mesure des niveaux d'AST pour évaluer la fonction hépatique.,Chemistry,Text,,,,,,,IU/L,Yes,1,,,
597524ce-27ca-43f7-a00e-4606388a7d52,,,Alanine Aminotransferase (ALT),Alanine Aminotransférase,GPT,GPT,Measures ALT levels to assess liver function.,Mesure des niveaux d'ALT pour évaluer la fonction hépatique.,Chemistry,Text,,,,,,,IU/L,Yes,1,,,
674df76e-92ad-43d2-a204-c7d13ee2ed3b,,,Phosphatase Alkaline (ALP),Phosphatase Alcaline,PAL,PAL,"Measures the level of alkaline phosphatase, which can indicate liver or bone disease.","Mesure du niveau de phosphatase alcaline, ce qui peut indiquer une maladie hépatique ou osseuse.",Chemistry,Text,,,,,,,IU/L,Yes,1,,,
0ad94c84-972b-46a4-96ce-4db70779c242,,,Blood Glucose,Glycémie,GLYCEMIE,GLYCEMIE,Measures the level of glucose in the blood to monitor diabetes.,Mesure du niveau de glucose dans le sang pour surveiller le diabète.,Chemistry,Text,,,,,,,mg/dL,Yes,2,,,
96941489-11cc-4d85-ab2b-813dddeeb38d,,,Stool Examination,Examen des selles,Stool Exam,EXAMEN SELLE,A test to examine stool for blood or parasites.,Test pour examiner les selles pour le sang ou les parasites.,Microbiology,Text,,,,,,,,No,,,,
