Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:fr,Data class,Data type,Answers,Members,_version:1,_order:1001,
8928a536-d118-4950-a9b0-46185d807eed,,,Acute Myocardial Infarction,Infarctus du myocarde aigu,AMI,IMA,A condition where blood flow to the heart is blocked,Une condition où le flux sanguin vers le cœur est bloqué,Diagnosis,N/A,,,,,
deba999e-41d5-470a-803f-901197cd1357,,,Rheumatoid Arthritis,Arthrite rhumatoïde,RA,AR,An autoimmune disorder that primarily affects joints,Un trouble auto-immun qui affecte principalement les articulations,Diagnosis,N/A,,,,,
6fb945f6-617a-4b34-ad38-486e47e3dfde,,,Stroke,AVC (Accident Vasculaire Cérébral),Stroke,AVC,A medical emergency where blood flow to the brain is interrupted,Une urgence médicale où le flux sanguin vers le cerveau est interrompu,Diagnosis,N/A,,,,,
7d9036ed-f3e8-4075-9d9d-7f0ac45d8992,,,Alzheimer’s Disease,Maladie d’Alzheimer,Alzheimer’s,Alzheimer,A progressive neurodegenerative disease that leads to memory loss and cognitive decline,Une maladie neurodégénérative progressive qui entraîne une perte de mémoire et un déclin cognitif,Diagnosis,N/A,,,,,
5e2e1cc0-caf9-4429-a21c-c8335cb49475,,,Atrial Fibrillation,Fibrillation auriculaire,Atrial Fibrillation,Fibrillation auriculaire,An irregular and often rapid heart rate that can increase the risk of stroke and heart failure,Un rythme cardiaque irrégulier et souvent rapide qui peut augmenter le risque d'AVC et d'insuffisance cardiaque,Diagnosis,N/A,,,,,
ca240027-0c50-4f01-bf0d-e9bfa1ce9596,,,Benign Prostatic Hyperplasia,Hyperplasie bénigne de la prostate,BPH,HBP,A condition in which the prostate gland is enlarged but not cancerous,Une condition dans laquelle la glande prostatique est agrandie mais non cancéreuse,Diagnosis,N/A,,,,,
9bf9bb7f-37aa-4968-957a-9ebab3ed5b73,,,Celiac Disease,Maladie cœliaque,Celiac Disease,Maladie cœliaque,An autoimmune disorder where the ingestion of gluten leads to damage in the small intestine,Un trouble auto-immun où l'ingestion de gluten entraîne des dommages à l'intestin grêle,Diagnosis,N/A,,,,,
f2b3c65c-ff1c-4c66-8979-2b0df24eeadd,,,Chronic Sinusitis,Sinusite chronique,Chronic Sinusitis,Sinusite chronique,An inflammation of the sinus linings that lasts for 12 weeks or longer,Une inflammation des revêtements des sinus qui dure 12 semaines ou plus,Diagnosis,N/A,,,,,
06b80ce6-c1d0-4bf6-9291-03d3a7ba3cc6,,,Coronary Artery Disease,Maladie coronarienne,CAD,MC,A condition characterized by the narrowing or blockage of coronary arteries,Une condition caractérisée par le rétrécissement ou le blocage des artères coronaires,Diagnosis,N/A,,,,,
1dfce2c8-27e9-4f25-a671-56de6d3e8d5b,,,Depression,Dépression,Depression,Dépression,A mood disorder that causes persistent feelings of sadness and loss of interest,Un trouble de l’humeur qui provoque des sentiments persistants de tristesse et de perte d’intérêt,Diagnosis,N/A,,,,,
