Uuid,Fully specified name:en,Fully specified name:fr,Data class,Data type
b624021d-2de8-466e-9899-63ee5867b3c9,Acupan,Acupan (Néfopam),Drug,N/A
0e5ba4d5-350c-4a01-ac30-2f244bc3ec59,Ambrosal,Ambrosal,Drug,N/A
cd252435-596a-4a58-9224-d81bfe302471,Anamol,Anamol,Drug,N/A
a25b3283-9b6f-443b-bf19-b206f3fca0a7,Antalgex,Antalgex,Drug,N/A
6d651ad8-dc39-4b5d-88f5-39b0d15fd8fc,Artesunate,Artésunate,Drug,N/A
ebb82324-4f5d-411d-99e7-9e4521e1df37,Atenolol,Aténolol,Drug,N/A
1e97264e-3e7c-4497-982a-608ed9f42759,Atropine,Atropine,Drug,N/A
4e931f33-19ec-432f-8a2d-e216bb27b75b,Aurocrome,Aurocrome,Drug,N/A
e296e417-8c50-4d76-abaa-a6ee04dba0f4,Beclo Asma,Beclo Asma,Drug,N/A
c4584ef1-9271-4e3e-b807-cef00b785704,Betastene,Betastène,Drug,N/A
ce0a7889-6c76-4178-9589-e06e461254bc,Biotyn,Biotyn,Drug,N/A
35ced1a7-0ff7-4ed4-90d3-ae07aebcab33,Bisacodyl,Bisacodyl,Drug,N/A
64bc7e21-d478-41a3-b234-ec53c6ef63dd,Bupivacaine,Bupivacaïne,Drug,N/A
13b2a456-494a-43f3-a68b-f2a3444b5c00,Chibrocadron,Chibrocadron,Drug,N/A
0268fd21-6b2e-4132-a511-63c304ae1b3e,Chlorhexidine,Chlorhexidine,Drug,N/A
18b55859-3f7f-40bc-8dc9-1bbd07823fb7,Ciptoxen-D,Ciptoxen-D,Drug,N/A
acef1d3e-b806-4d3a-a0a1-2139c13a499f,Clotrine B,Clotrine B,Drug,N/A
4d2b462b-41cf-49f5-b792-e2e6a3142ddb,Clotrine BG,Clotrine BG,Drug,N/A
8baaab7a-bdba-41b4-9cc5-7b466384dd7c,Clotrine,Clotrine,Drug,N/A
02e5da60-fee6-43eb-9936-ac0329412142,Colchicine,Colchicine,Drug,N/A
01501fc7-d52a-4462-96e0-a4e82482f7bf,Cold Cap,Cold Cap,Drug,N/A
bd678213-9726-4bf9-b2e9-f61acd3e5e65,Dettol,Dettol,Drug,N/A
