Uuid,Concept Drug,Concept Dosage Form,Strength,Name,Name:fr
b4c1e2f0-d7ca-48a1-ac23-df85d30344be,b624021d-2de8-466e-9899-63ee5867b3c9,d81e10fe-0f6a-4b75-b9c0-a5e72d56f3b2,20mg,Acupan Injection 20mg,Acupan Injection 20mg
ad76c82c-7f96-4dbc-905a-163a75aa0be8,0e5ba4d5-350c-4a01-ac30-2f244bc3ec59,bf712910-1c7f-4e72-9d50-6eb5453efcfd,,Ambrosal Syrup,Ambrosal Sirop
66e2e474-83d0-47d4-9bad-e3f7edbc84d3,cd252435-596a-4a58-9224-d81bfe302471,391d2a1b-2aec-4bd7-b43b-e294e7f2b9b9,,Anamol Tablet,Anamol Comprimé
e33c1482-84d4-4ce6-ac44-7944bda93fcb,cd252435-596a-4a58-9224-d81bfe302471,bf712910-1c7f-4e72-9d50-6eb5453efcfd,,Anamol Syrup,Anamol Sirop
65b267cb-b6cc-4d8b-8932-ae92c4d8f678,a25b3283-9b6f-443b-bf19-b206f3fca0a7,391d2a1b-2aec-4bd7-b43b-e294e7f2b9b9,,Antalgex Tablet,Antalgex Comprimé
1fb262b7-ae9e-45a8-8200-282239d52eee,6d651ad8-dc39-4b5d-88f5-39b0d15fd8fc,d81e10fe-0f6a-4b75-b9c0-a5e72d56f3b2,,Artesunate Injection,Artésunate Injection
65d1e9c2-7424-4df3-bd64-211143d0f1c3,fd333668-1ddb-4b1c-a41e-c725f15e37f2,391d2a1b-2aec-4bd7-b43b-e294e7f2b9b9,,Artemether-Lumefantrine Tablet Pack of 24,Artéméther-Luméfantrine Comprimé Boîte de 24
1cca586a-cf7d-4076-a9c1-d18b80914e92,fd333668-1ddb-4b1c-a41e-c725f15e37f2,391d2a1b-2aec-4bd7-b43b-e294e7f2b9b9,,Artemether-Lumefantrine Tablet Pack of 12,Artéméther-Luméfantrine Comprimé Boîte de 12
d337d23d-a300-4f1a-b151-34c3b7f0d740,fd333668-1ddb-4b1c-a41e-c725f15e37f2,391d2a1b-2aec-4bd7-b43b-e294e7f2b9b9,,Artemether-Lumefantrine Tablet Pack of 18,Artéméther-Luméfantrine Comprimé Boîte de 18
d568c612-69ee-4e7f-b49c-f810cc0a43cd,fd333668-1ddb-4b1c-a41e-c725f15e37f2,391d2a1b-2aec-4bd7-b43b-e294e7f2b9b9,,Artemether-Lumefantrine Tablet Pack of 6,Artéméther-Luméfantrine Comprimé Boîte de 6
999343b4-e534-4618-8ca9-749237231906,ebb82324-4f5d-411d-99e7-9e4521e1df37,391d2a1b-2aec-4bd7-b43b-e294e7f2b9b9,100mg,Atenolol 100mg Tablet,Aténolol Comprimé 100mg
08a8b7d6-a547-4fdc-829d-5102b17fbe13,ebb82324-4f5d-411d-99e7-9e4521e1df37,391d2a1b-2aec-4bd7-b43b-e294e7f2b9b9,50mg,Atenolol 50mg Tablet,Aténolol Comprimé 50mg
8b2f8b7c-0015-400b-aa9e-82ffd91cf518,1e97264e-3e7c-4497-982a-608ed9f42759,d81e10fe-0f6a-4b75-b9c0-a5e72d56f3b2,,Atropine Injection,Atropine Injection
f9adb25d-d3b0-4729-8f8c-1d59e46d7c2a,4e931f33-19ec-432f-8a2d-e216bb27b75b,11ae7979-7bb6-49c7-9715-9adacc1b4005,,Aurocrome Eye Drops,Aurocrome Collyre
a4f28d5c-69fb-4a86-8f5c-6df7ad5f382c,e296e417-8c50-4d76-abaa-a6ee04dba0f4,2befd840-e135-4fc9-bb9d-acdcce088f19,,Beclo Asma Spray,Beclo Asma Spray
